cid,classification_system,category,subcategory,raw_path,source_tag,fetched_at
62296,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62296,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62300,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62300,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62307,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62307,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62309,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62309,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62370,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62370,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62373,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62373,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62380,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62380,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62495,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62495,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62504,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62504,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62516,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62516,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62528,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62528,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62709,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62709,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62710,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62710,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62764,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62787,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62787,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
75994,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
75994,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
76168,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
76168,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
76632,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
76632,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
85875,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
85875,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
90766,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
90766,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
92943,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
92943,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
98527,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
98527,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
98528,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
98528,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
104895,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
105039,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
105039,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
125835,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
125835,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
135740,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
135740,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
151182,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
187760,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
187760,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
197060,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
197060,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
205601,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
205601,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
431865,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
431865,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
436156,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
436156,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
458582,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
527011,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
527011,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
527013,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
527013,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
527015,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
527015,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
615726,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
615726,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
618633,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
618633,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
621174,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
621174,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
644209,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
644209,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
968688,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
968688,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
3037032,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
3080846,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
3080846,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
4412255,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5284516,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5284516,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5311356,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5311356,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5311501,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5311501,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5359421,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5359421,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5362445,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5362447,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5362447,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5362456,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5362456,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5362457,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5362457,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5362458,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5362458,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5362459,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5362459,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5362460,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5362460,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5362482,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5362482,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5362507,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5362507,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5362518,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5362518,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5462328,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5462328,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5462508,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5462508,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5463854,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5463854,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5463858,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5463858,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5463863,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5463863,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5463872,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5463872,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5463874,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
