id,source_site,query_cas,query_chemical,product_name,product_cas,product_url,supplier_name,supplier_country,supplier_city,price,moq,purity,raw_snippet,fetched_at
29,indiamart,108-24-7,acetic anhydride,Trifluoro Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/vandana-chemicals/chemical-compound.html#trifluoro-acetic-anhydride,Shayona Intermediates,India,Ankleshwar,,,,"Trifluoro Acetic Anhydride We are instrumental in offering Trifluoro Acetic Anhydride. It is the perfluorinated derivative of acetic anhydride. It is highly demanded in various laboratory and are manufactured from quality raw material. It is available at reasonable prices in the market. more... Shayona Intermediates Plot No. 7406, G..D.C. Estate , Ankleshwar - 393002 , Gujarat www.indiamart.com/va",2026-04-24T17:28:11.442800+00:00
30,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/shreepadmavati-chemicals/,Shree Padmavati Chemicals,India,Vadodara,,,,"No Image Available Acetic Anhydride Shree Padmavati Chemicals Krishna Niwas, No. 8, Vinayak Society, Gotri Road , Vadodara - 390 007 , Gujarat www.indiamart.com/shreepadmavati-chemicals Send Enquiry 8000933834 Vadodara",2026-04-24T17:28:11.442803+00:00
31,indiamart,90-82-4,pseudoephedrine,Pseudoephedrine HCl,90-82-4,https://web.archive.org/web/20150709132339/http://www.trivenichemical.com/hydrochloride-5.html#pseudoephedrine-hcl,Triveni chemicals,India,Vapi,,,,"Pseudoephedrine HCl Pseudoephedrine (PSE) is a sympathomimetic drug of the phenethylamine and amphetamine chemical classes used as a nasal/sinus decongestant and stimulant or wakefulness-promoting agent. Triveni chemicals Manufacturer No. 135, Pancharatna Char Rasta, G. I. D. C. , Vapi - 396195 , Gujarat www.trivenichemical.com Send Enquiry 8447574103 Vapi",2026-04-24T17:28:45.676051+00:00
32,indiamart,90-82-4,pseudoephedrine,Pseudoephedrine,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/apollo-pharmaceuticals/api-formulation-a.html#pseudoephedrine,Apollo Pharmaceuticals Api Manufacturers India Pvt. Ltd.,India,Mumbai,,,,"Pseudoephedrine [ 90-82-4 ] Apollo Pharmaceuticals Api Manufacturers India Pvt. Ltd. Manufacturer D62, OIC India, Oshiwara Industrial Centre, Oshiwara, New Link Road, Goregaon West , Mumbai - 400104 , Maharashtra www.indiamart.com/apollo-pharmaceuticals Send Enquiry 8048020655 Mumbai",2026-04-24T17:28:45.676105+00:00
33,indiamart,90-82-4,pseudoephedrine,4-Fluoromethcathinone HCl (Flephedrone HCl):,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/aarey-drugspharmaceutical/research-chemicals.html#4-fluoromethcathinone-hcl-flephedrone-hcl,Aarey Drugs & Pharmaceuticals Limited,India,Mumbai,,,,"4-Fluoromethcathinone HCl (Flephedrone HCl): Aarey Drugs & Pharmaceuticals Limited Manufacturer 107, Sahakar Bhavan, 340/348, Narshi Natha Street, Masjid,, Mumbai - 400009 , Maharashtra www.indiamart.com/aarey-drugspharmaceutical Send Enquiry 8046058116 Mumbai",2026-04-24T17:28:45.676127+00:00
34,indiamart,90-82-4,pseudoephedrine,Pseudophedrine,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/sanketpharmaceuticals/generic-product.html#pseudophedrine,Sanket Pharmaceuticals Private Limited,India,Mumbai,,,,"Pseudophedrine Sanket Pharmaceuticals Private Limited Exporter No. 196- A, Tara House, Chira Bazar Dr. Veigas Street, Mumbai - 400002 , Maharashtra www.indiamart.com/sanketpharmaceuticals Send Enquiry 8043259606 Mumbai",2026-04-24T17:28:45.676133+00:00
35,indiamart,90-82-4,pseudoephedrine,Pseudoephedrine,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/sheyang-pharmaceutical/,Sheyang Pharmaceutical Shop,India,Bengaluru,,,,"Pseudoephedrine Most reliable and confidential supplier for quality products. Buy Quality Pharmaceutical grade products at the best price you can get. our prices are the best you can get and we offer discount prices to clients with regards to the amount you buy. delivery is 100% assured. we supply the best grade products more... Sheyang Pharmaceutical Shop Exporter No. 1A, Systems Estate, 2nd Phas",2026-04-24T17:28:45.676136+00:00
36,indiamart,90-82-4,pseudoephedrine,Ephedrine Hydrochloride Powder,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/kates-international/hgh.html#ephedrine-hydrochloride-powder,Kate's Internation Private Limited,India,New Delhi,,,,"Ephedrine Hydrochloride Powder Ephedrines HCL 30mg We suppliers of ephe HCL, crystal powder purity 99. 9% no mixture, we are based in the italy our delivery all over the globe is perfect, product appearance = white crystal, we also have EPH pills. Please contact us if interested. more... Kate's Internation Private Limited Wholesaler Dak Bhavan, Parliament Street , New Delhi - 110001 , Delhi www.in",2026-04-24T17:28:45.676158+00:00
37,indiamart,90-82-4,pseudoephedrine,Pseudoephedrine,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/company/12494365/pseudoephedrine.html#pseudoephedrine,Day No Be One Chem. Shop,India,Dabhel,,,,"Pseudoephedrine We provide a range of treatments of experimental plants specifically focused on providing research on the effects of serotonin in the growth of plants. All our products are supplied as pure crystalline powder or pre measured treatment and plugs are of the highest available purity more... Day No Be One Chem. Shop Manufacturer No. 152, 14th Floor, Maker Chambers, 4th, No. 22, Jamnala",2026-04-24T17:28:45.676161+00:00
38,indiamart,90-82-4,pseudoephedrine,Pseudoephedrine Crystal Powder,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/wintaclimited/research-chemicals.html#pseudoephedrine-crystal-powder,Wintac Limited,India,Bengaluru,,,,"Pseudoephedrine Crystal Powder product name:pseudoephedrine crystal powderpurity:above 99.5%Appearance:White or light yellow small crystalpacking:according to customers' requirementsPharmaceutical IntermediatesWidely used in medicine, research, etc Can begin with small sample, any quantity is OKCan send out at the same time and send you the tracking numberFor the payment, you can use Western union",2026-04-24T17:28:45.676164+00:00
39,indiamart,90-82-4,pseudoephedrine,Pseudoephedrine Crystal Powder,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/dr-datasons-labs/research-chemicals.html#pseudoephedrine-crystal-powder,Dr. Datasons Labs Limited,India,Mumbai,,,,"Pseudoephedrine Crystal Powder product name:pseudoephedrine crystal powderpurity:above 99.5%Appearance:White or light yellow small crystalpacking:according to customers' requirementsPharmaceutical IntermediatesWidely used in medicine, research, etc Can begin with small sample, any quantity is OKCan send out at the same time and send you the tracking numberFor the payment, you can use Western union",2026-04-24T17:28:45.676167+00:00
40,indiamart,90-82-4,pseudoephedrine,"Pseudoephedrin Hcl,Ephedrines TEXT US(219) 649-0142",90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/chonburipharma-limited/buy-aicars-powder-aicars-pills-ephedrins-hcl.html#pseudoephedrin-hcl-ephedrines-text-us-219-649-0142,Chonburi Animal Farming Limited,India,New Delhi,,,,"Pseudoephedrin Hcl,Ephedrines TEXT US(219) 649-0142 We have high grade research chems and pain meds available. Our products have a purity level of 99.5% and all our meds are standardized for both research purposes and personal uses. We sell at very good and affordable...... more... Chonburi Animal Farming Limited Manufacturer E-42, Anand Niketan , New Delhi - 110021 , Delhi www.indiamart.com/chonb",2026-04-24T17:28:45.676170+00:00
41,indiamart,90-82-4,pseudoephedrine,Pseudoephedrine,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/hardgold-limited/,Hardgold Limited,India,Bengaluru,,,,"Pseudoephedrine Pseudoephedrine is a decongestant that shrinks blood vessels in the nasal passages. Dilated blood vessels can cause nasal congestion (stuffy nose). Pseudoephedrine is used to treat nasal and sinus congestion, or congestion of the tubes that drain fluid from your inner ears, called the eustachian (yoo-STAY-shun) tubes. more... Hardgold Limited Exporter 21st Floor, World Trade Center",2026-04-24T17:28:45.676175+00:00
42,indiamart,90-82-4,pseudoephedrine,Pseudoephedrine Crystal Powder,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/fulford-laboratories/research-chemicals.html#pseudoephedrine-crystal-powder,Fulford Laboratories & Pharmaceuticals Limited,India,Delhi,,,,"Pseudoephedrine Crystal Powder product name:pseudoephedrine crystal powderpurity:above 99.5%Appearance:White or light yellow small crystalpacking:according to customers' requirementsPharmaceutical IntermediatesWidely used in medicine, research, etc Can begin with small sample, any quantity is OKCan send out at the same time and send you the tracking numberFor the payment, you can use Western union",2026-04-24T17:28:45.676179+00:00
43,indiamart,90-82-4,pseudoephedrine,Pseudoephedrine Crystal Powder,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/company/13231612/research-chemicals.html#pseudoephedrine-crystal-powder,Jenburkt Pharmaceuticals Limited,India,Mumbai,,,,"Pseudoephedrine Crystal Powder product name:pseudoephedrine crystal powderpurity:above 99.5%Appearance:White or light yellow small crystalpacking:according to customers' requirementsPharmaceutical IntermediatesWidely used in medicine, research, etc Can begin with small sample, any quantity is OKCan send out at the same time and send you the tracking numberFor the payment, you can use Western union",2026-04-24T17:28:45.676182+00:00
44,indiamart,90-82-4,pseudoephedrine,Pseudoephedrine,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/dishmanpharmaceuticals-chemicals/,Dishman Pharmaceuticals & Chemicals Limited,India,Ahmedabad,,,,"Pseudoephedrine Pseudoephedrine is a decongestant that shrinks blood vessels in the nasal passages. Dilated blood vessels can cause nasal congestion (stuffy nose). Pseudoephedrine is used to treat nasal and sinus congestion, or congestion of the tubes that drain fluid from your inner ears, called the eustachian... more... Dishman Pharmaceuticals & Chemicals Limited Manufacturer Bhadr Raj Chambers,",2026-04-24T17:28:45.676185+00:00
45,indiamart,90-82-4,pseudoephedrine,Ephedrine HCL 30mg,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/company/14373333/branded-pills-and-orals.html#ephedrine-hcl-30mg,Trinity Touch Pharmacy,India,Mumbai,,,,"Ephedrine HCL 30mg Ephedrine Tablets. Top grade pharmaceuticals product. Local and International. Shipping and delivery .... 100% safe and convenient. We sell minimum quantities and large orders too. Contact for delivery procedures. more... Trinity Touch Pharmacy Manufacturer A/1, Thakur Estate, Scout Camp Road Jogeshwari West, Mumbai - 400102 , Maharashtra www.indiamart.com/company/14373333 Send ",2026-04-24T17:28:45.676187+00:00
46,indiamart,90-82-4,pseudoephedrine,Pseudoephedrine,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/company/12566009/pseudoephedrine.html#pseudoephedrine,Land Of Promise Chem Shop,India,Mumbai,,,,"Pseudoephedrine Engaged in the manufacturing and supplying of quality pharmaceutical products. We are major players in the business supplying only the best to our clients. Ephedrine is a sympathomimetic amine commonly used as a stimulant, appetite suppressant, concentration aid, decongestant, and to treat hypotension associated with anaesthesia. more... Land Of Promise Chem Shop Manufacturer Secto",2026-04-24T17:28:45.676191+00:00
47,indiamart,90-82-4,pseudoephedrine,Ephedrine,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/raz-chemicals/,Raz Chemicals (Prvt) Limited,India,Gandhidham,,,,"Ephedrine Our company is serving our clients with one of the most reliable qualities of drugs since past several years. We always keep consistency in the quality of our drugs which in turn keeps the name of our company high among the leading companies in this line We are engaged in offering excellent range of... more... Raz Chemicals (Prvt) Limited Wholesaler No. 12, Cross Road, Kutch , Gandhidham",2026-04-24T17:28:45.676193+00:00
48,indiamart,90-82-4,pseudoephedrine,Ephedrine,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/sunshine-pharmaceuticals-nagpur/,Sunshine Pharmaceuticals,India,Nagpur,,,,"Ephedrine We are wholesale suppliers of any quantity of Ephedrine Hcl. Ephedrine is a sympathomimetic amine commonly used as a stimulant, concentration aid, decongestant, appetite suppressant, and to treat hypotension associated with anaesthesia. more... Sunshine Pharmaceuticals Wholesaler Dawa Bazar, Gandhibag , Nagpur , Maharashtra www.indiamart.com/sunshine-pharmaceuticals-nagpur Send Enquiry 9",2026-04-24T17:28:45.676211+00:00
49,indiamart,90-82-4,pseudoephedrine,Pseudoephedrine,90-82-4,https://web.archive.org/web/20150709132339/http://www.indiamart.com/davis-aloe-stock/,Davis Aloe Stock,India,Mumbai,,,,"Pseudoephedrine Davis Aloe Stock Wholesaler Ceasar Road, Andheri West, Navneeth Colony, Amboli , Mumbai - 400058 , Maharashtra www.indiamart.com/davis-aloe-stock Send Enquiry 7854956235 Mumbai",2026-04-24T17:28:45.676215+00:00
